Created At,Screen Name,Full Tweet
2021-06-06 11:52:39,tvOneNews,"b'- Corona meningkat, gelombang kedua di depan mata?\n- KPK bergejolak, Pemerintah ""Tutup Mata""?\n\nSaksikan beritanya di Apa Kabar Indonesia Malam bersama Chacha Annisa jam 18.30 WIB hanya di tvOne &amp; live streaming di https://t.co/pkGSgh23k8 #AKIMalamtvOne #CariBeritaditvOne https://t.co/GZ2IKKsPAZ'"
2021-06-06 11:34:14,KADIN Indonesia,b'Update Corona: Sepekan Terakhir Kasus Sembuh Corona di Indonesia Meningkat\n\nSelengkapnya di https://t.co/pTTPg7HqYc.\n\nhttps://t.co/iK3hbjNSpv\n\n#BeritaKadin #UpdateCorona #Corona #CoronaVirus #Covid19 #Kadin #KadinuntukIndonesia #KadinIndonesia https://t.co/vXbXQSFfHk'
2021-06-06 11:00:00,CNN Indonesia,"b'Menteri Keuangan Sri Mulyani menyebut beberapa tanda ekonomi Indonesia mulai pulih dari dampak pandemi #corona, seperti peningkatan indeks keyakinan masyarakat, penjualan ritel, dan belanja negara. #Infografis https://t.co/HWePeFSg2A #CNNIndonesia https://t.co/HmHNihlGyh'"
2021-06-06 10:57:36,Berita Corona,"b'#[UPDATE] Virus Corona di Indonesia 6 Juni 2021, Positif Naik 5.832, Meninggal 163 Orang - https://t.co/7Iwj2T0CkO - Pikiran Rakyat #Corona #Korona'"
2021-06-06 10:25:33,Pikiran Rakyat,"b'[UPDATE] Virus Corona di Indonesia 6 Juni 2021, Positif Naik 5.832, Meninggal 163 Orang https://t.co/iHHpm2rTac'"
2021-06-06 10:22:13,detikHealth,b'Menkes RI memprediksi puncak Corona di Indonesia terjadi pada Juni 2021. Pakar memperkirakan lonjakan kasus baru bisa mencapai 50-100 ribu kasus perhari. https://t.co/fi5ChnvHOV'
2021-06-06 10:02:08,kumparan,"b'Masih tingginya tingkat penularan virus COVID-19 menjadi alasan pemerintah Indonesia untuk kembali tidak memberangkatkan jemaah haji. Menko PMK @muhadjir_ef menjelaskan, mepetnya waktu persiapan juga menjadi alasan terkait pembatalan tersebut. #TopNews https://t.co/sshLQjLjTj https://t.co/hJhRNffeWm'"
2021-06-06 10:01:23,Econ Karim,b'@gundala2221 @Vi_MAE_ @chirp_sitto @Ephraym7 @DeHoutman_id @__MV_llestari__ @Natali_Cristi3n @Corona_KafirNw @harihariono1 @DavidWijaya82 @Parapat_Nixon Gila. Org2 kayak gini harus dibersihkan dr dunia ini jgn cuma Indonesia. Skrg adu domba Nabi lagi. Sejak kapan Yesus masuk islam? Yesus yg mana nih? Tetangga ustadz ini mskdnya? #meyeramkan'
2021-06-06 09:58:05,kumparan,"b'Per 6 Juni 2021, ada tambahan 5.832 kasus COVID-19 di Indonesia, total sebanyak 1.856.038 orang. #kumparanNEWS https://t.co/oNQA5VVcnk'"
2021-06-06 09:57:26,Berita Corona,"b'#UPDATE Corona Indonesia, Minggu (6/6): Tambah 5.832 kasus, kurangi mobilitas - Kontan #Corona #Korona'"
2021-06-06 09:55:12,Dr Eva Chaniago,"b'@alin_chan_ Malaysia lockdown ya ? Semangaaaat\n\nIndonesia mah aman..\nCorona disini mah pinter pinter, ngga sembarangan..\n\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'"
2021-06-06 09:32:14,Pikiran Rakyat,"b'[UPDATE] Virus Corona di Indonesia 6 Juni 2021, Positif 5.832, Meninggal 163 Orang\n\nhttps://t.co/pgs5Ol1siO\n\n#update #kasus #corona #indonesia #jumlah #pasien #positif #meninggal #dunia #sembuh #pemerintah #virus #corona #coronavirus #coronaoutbreak #prmn #pikiranrakyat'"
2021-06-06 09:30:21,Lensa Indonesia RTV,"b'Data per 6 Juni 2021, pasien konfirmasi corona di Indonesia mencapai 1.856.038 orang. Jumlah pasien sembuh 1.705.971 orang dan 51.612 orang lainnya meninggal dunia.\n\n#BersatuLawanCovid19 #cerdascovid19 #updatecorona #updatecovid19 #corona https://t.co/l71pxQ5Q5z'"
2021-06-06 09:23:30,Hafil_7291,b'@WagimanDeep212_ Anak sy usia 12 tahun awal puasa sampe 3 minggu puasa ( 2021) . sy isolasi mandiri. Krn terpapar covid 19. \nAwal corona msk indonesia sy n team berjibaku spraying. Dan prnh bbrp kali sy jmpt n spraying rmh paseien terpapar corona.'
2021-06-06 08:15:45,Syarief Hasan,b'Jumlah kasus Covid-19 mendekati 2 juta kasus. Pemerintah harus tegas dan efektif memutus penyebaran Covid-19. Salah satunya masuknya WNA ke Indonesia. @mprgoid @FPD_DPR \n#syariefhasan #mprri #COVID19 #VaksinasiCovid19 \nhttps://t.co/css6ZDo9QB'
2021-06-06 08:08:32,Narayana,b'@Corona_KafirNw @haikal_hassan Haikal hasan hdp di Indonesia cm utk jd provokator ? Mau mecah belah bangsa ? Haram kamu hidup di NKRI haikal hasan ! Klo tdk senang hdp di Indonesia minggat aja kamu !'
2021-06-06 07:38:24,Butiran Debu 🇲🇨Pro NKRI 🇲🇨,b'@Corona_KafirNw @haikal_hassan Makanya keluar aja kau dari Indonesia ini  san\xf0\x9f\x91\x8a'
2021-06-06 07:21:05,rahasia bumi.,b'Ketika Mayoritas Rakyat Indonesia berpura-pura bahagia. Corona jadi alasan penguasa.\nPenguasa Togog.\nTak Punya Ilmu apalagi Iman. Makanya masuk kedalam jebakan Betmen. Pasar Modal. https://t.co/cBsqOIGziq'
2021-06-06 07:05:30,BERITA.TOP,"b""** https://t.co/d0TVKLr1Bi ** Covid di India: Di balik cerita viral enam pasien virus corona yang meninggal 'usai ditinggal dokter dan perawat' - BBC News Indonesia"""
2021-06-06 05:55:51,Wells,b'@HmfaqihA terpikir tdk Arab Saudi blm putuskan kuota haji smp detik ini pdhl waktu sdh dekat krn mreka takut jemaah haji kt akan bawa virus corona ke negara mereka ? kalau penerbangan dr Indonesia tdk dibuka kita mau naik haji pakai apa? \xf0\x9f\x98\x9c'
2021-06-06 05:53:32,Wells,b'@felixsiauw terpikir tdk Arab Saudi blm putuskan kuota haji smp detik ini pdhl waktu sdh dekat krn mreka takut jemaah haji kt akan bawa virus corona ke negara mereka ? kalau penerbangan dr Indonesia tdk dibuka kita mau naik haji pakai apa? \xf0\x9f\x98\x9c'
2021-06-06 05:24:02,Bagya,"b'@Kemdikbud_RI @KemenkesRI @BNPB_Indonesia @jokowi \n\nMas Menteri, tolong dipikir ulang soal masuk sekolah offline. Dipikir pakai OTAK dulu. Ini ada lesson learned:\nhttps://t.co/7fftf7rTOe'"
2021-06-06 04:30:00,DW Indonesia,"b'Saat ini ada lebih dari 1.000 varian virus #SARSCoV2 yang diketahui. Jika varian-varian baru virus semakin beradaptasi dengan inang manusia, maka antibodi yang dibentuk oleh vaksinasi dikhawatirkan tidak akan dapat melindungi kita lagi pada titik tertentu.\nhttps://t.co/mIeomGU4So'"
2021-06-06 04:27:52,Susan,"b'Setidaknya dgn kita Vaksin, kita dpt mengurangi dan terhindar dari virus yg menyakitkan ini. Sehingga angka yg mengalami positif semakin menurun. Kalau ini update yg 5 juni ya guys. https://t.co/2ZUIJVdSxp'"
2021-06-06 04:16:50,Morex Yo@gmail.com,"b'@fadlizon Klo saya berpendapat sebagai wali murid sekolah tatap harus diadakan setiap saat setiap hari seperti hari2 bisanya,dg protokol kesehatan demi kecerdasan anak2 bangsa indonesia untuk masa yg akan datang, karna saya belum mendengar anak2 yg mati karna corona.'"
2021-06-06 04:02:07,Zevosta,"b'@KompasTV Yang ngga berangkat bukan cuma se Indonesia kok, banyak negara yang ngga berangkat karena Corona. Apalagi negara kita masih banyak kasus bermunculan.'"
2021-06-06 03:58:46,Alvian Bhakti,b'@ferdiriva Loh kan pandemi udah berakhir\n\nhttps://t.co/FKaiCG1cHQ'
2021-06-06 03:36:04,sabar setiabudi,"b'@angedespoir5 @fadlizon Wong sudah jelas jelas\nGara gara dki ibu kota Negara juara umum Corona se Indonesia , dan di lihat oleh puluhan duta besar negara sahabat yang ada di Jakarta , kemudian negara mereka ambil tindakan keras terhadap jemaah Indonesia .\nKok masih ngeyel aja siihh si buntal'"
2021-06-06 03:26:14,sabar setiabudi,"b'Gara gara dki ibu kota Negara , juara umum Corona se Indonesia , dan di lihat oleh puluhan duta besar negara sahabat yang ada di Jakarta , kemudian negara mereka , ambil tindakan keras terhadap jemaah Indonesia . https://t.co/YCYWx4qdBN'"
2021-06-06 03:24:49,sabar setiabudi,"b'Gara gara dki ibu kota Negara , juara umum Corona se Indonesia , dan di lihat oleh puluhan duta besar negara sahabat yang ada di Jakarta , kemudian negara mereka , ambil tindakan keras terhadap jemaah Indonesia . https://t.co/qE9JWGpClC'"
2021-06-06 03:24:21,sabar setiabudi,"b'Gara gara dki ibu kota Negara , juara umum Corona se Indonesia , dan di lihat oleh puluhan duta besar negara sahabat yang ada di Jakarta , kemudian negara mereka , ambil tindakan keras terhadap jemaah Indonesia . https://t.co/nSO0sp1ym7'"
2021-06-06 03:24:04,🇲🇨ABADI🇲🇨,"b'@Corona_KafirNw Klu kira2 diindonesia berat pindah ke gurun sajalah,,kadal tidak laku di Indonesia.'"
2021-06-06 03:23:48,sabar setiabudi,"b'Gara gara dki ibu kota Negara , juara umum Corona se Indonesia , dan di lihat oleh puluhan duta besar negara sahabat yang ada di Jakarta , kemudian negara mereka , ambil tindakan keras terhadap jemaah Indonesia . https://t.co/J7xkS9wCiU'"
2021-06-06 03:23:14,sabar setiabudi,"b'Gara gara dki ibu kota Negara , juara umum Corona se Indonesia , dan di lihat oleh puluhan duta besar negara sahabat yang ada di Jakarta , kemudian negara mereka , ambil tindakan keras terhadap jemaah Indonesia . https://t.co/UpiynDkYTL'"
2021-06-06 03:22:54,sabar setiabudi,"b'@SupermanRBN @2Ribu4J Gara gara dki ibu kota Negara , juara umum Corona se Indonesia , dan di lihat oleh puluhan duta besar negara sahabat yang ada di Jakarta , kemudian negara mereka , ambil tindakan keras terhadap jemaah Indonesia .'"
2021-06-06 03:22:38,sabar setiabudi,"b'Gara gara dki ibu kota Negara , juara umum Corona se Indonesia , dan di lihat oleh puluhan duta besar negara sahabat yang ada di Jakarta , kemudian negara mereka , ambil tindakan keras terhadap jemaah Indonesia . https://t.co/8QDwoBIjeL'"
2021-06-06 03:08:06,ZonaPekanbaru,b'UPDATE SEBARAN CORONA INDONESIA Sabtu 5 Juni 2021: Gawat! Kasus Kematian di Riau Makin Melonjak\nhttps://t.co/PBysmjt2Nc'
2021-06-06 03:05:05,Native,"b'Puan Maharani, Pemerintah dan DPR RI sudah meminta pemerintah Arab Saudi memberi kelonggaran pada jemaah Indonesia untuk dapat beribadah haji tahun ini.\n\nTapi demi keamanan dan keselamatan semua, kita masih harus bersabar. Apalagi muncul varian baru virus corona, #PuanPeduliHaji https://t.co/2JjMUOVxyp'"
2021-06-06 02:49:25,tadzkiii,"b'@ChimonAndNanon @schfess Halo, aku ikut dari event iysd indonesia youth  student  andevelopment. Aku acaranya itu desesmber 2019 itu awal awal corona muncul. Masih simpang siur belum jelas gimana corona tu nah awal awal itu juga di thailand banyak turia china jadi batal kesana tapi diganti'"
2021-06-06 02:26:39,@winantisri1,b'@mx00711 @daunsirih5 @ahmedasarlan @Corona_KafirNw @agama_nusantara @Homo_sapiens21 @Jdjdnd42440239 @Polipol95313843 @kelincipetelur @IngieCS @JinNonik @MaleoYan Indonesia ?????\nPrestasi Olahragawan jg minim'
2021-06-06 02:24:16,Bambiboo8,"b'Demi keamanan dan keselamatan semua, jemaah haji Indonesia harus bersabar. Apalagi muncul varian baru virus corona, dan orang yang sudah divaksin tidak dijamin tidak tertular.\n#PuanPeduliHaji\nhttps://t.co/BMXV4Rp5e8'"
2021-06-06 02:22:09,MENDOAN BREWOK 🇮🇩 CINTA NKRI 🇮🇩,b'@Corona_KafirNw @Ek4_Puspita Bisa minta jatah jumlah haji indonesia dinaikan.. Dari 150.000 orang bisa jadi 1 juta jemaah..\nKan cucu nabi... Harus dihormatin dan dituruti... \xf0\x9f\xa4\xad\xf0\x9f\xa4\xad\nKlo gak diturutin bisa masuk Neraka... \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/NvB1C04co5'
2021-06-06 02:07:05,Lizethliz,"b'Jemaah haji Indonesia hrs bersabar, demi keamanan dan keselamatan semua. Apalagi muncul varian baru virus corona, dan orang yang sudah divaksin tidak dijamin tidak tertular\n#PuanPeduliHaji\nhttps://t.co/eVz898RttF*'"
2021-06-06 02:06:55,Raden mas,b'@AnaBridel @na_dirs isi surat yg mana? yg ada itu 11 negara yg dpt kuota tdak termasuk indonesia..karna d indonesia corona blom bisa d katakn aman ...karna warganya kurang memiliki rasa kesadaran akn kesehatan..d suruh d rumah ..malah demo bikin krumunan ..trus nyalain pemerintah ...kan wiciss..'
2021-06-06 02:04:18,Sora TaranBala✝️🇮🇩✝️,b'@ed_tirta Di Indonesia tidak Akan terjadi.\xe2\x80\xbc\xef\xb8\x8f\nSiapapun pemimpinnya yg Berani berbuat spt Mr. @rterdogan_ar maka dia Akan berhadapan dgn Para kafir yg meski cm sekian persen.\nIndonesia mungkin hanya Akan Tinggal Nama saja.\xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f\xe2\x80\xbc\xef\xb8\x8f'
2021-06-06 02:02:38,Uma Hadran 💄,"b'Ingat, positif virus corona bukanlah aib. Jadi, tak perlu menutup diri apabila Anda memang mengalami penyakit tersebut. Restorasi Indonesia #MendorongNKRILebihMaju\n\nhttps://t.co/KKHPc6nxjb'"
2021-06-06 02:02:23,Fred Si Ikan 🐟,"b'Ingat, positif virus corona bukanlah aib. Jadi, tak perlu menutup diri apabila Anda memang mengalami penyakit tersebut. Restorasi Indonesia #MendorongNKRILebihMaju\n\nhttps://t.co/N3czlqK50T'"
2021-06-06 02:01:57,Anang Kudasai 💣,"b'Ingat, positif virus corona bukanlah aib. Jadi, tak perlu menutup diri apabila Anda memang mengalami penyakit tersebut. Restorasi Indonesia #MendorongNKRILebihMaju\n\nhttps://t.co/VerXvHhDYL'"
2021-06-06 02:01:46,Edo Tirta Winata,b'@Corona_KafirNw Nah  ini bs jd pemicu ke indonesia  ngeriiii'
2021-06-06 02:01:45,Acil Haji 💕,"b'Ingat, positif virus corona bukanlah aib. Jadi, tak perlu menutup diri apabila Anda memang mengalami penyakit tersebut. Restorasi Indonesia #MendorongNKRILebihMaju\n\nhttps://t.co/Dig5OYSUYd'"
2021-06-06 02:01:36,🌾Lusiana Pertiwi🌾,"b'Ingat, positif virus corona bukanlah aib. Jadi, tak perlu menutup diri apabila Anda memang mengalami penyakit tersebut. Restorasi Indonesia #MendorongNKRILebihMaju\n\nhttps://t.co/VSKLHFZWCP'"
2021-06-06 02:00:20,mbuh,"b'@daunsirih5 @winantisri11 @ahmedasarlan @Corona_KafirNw @agama_nusantara @Homo_sapiens21 @Jdjdnd42440239 @Polipol95313843 @kelincipetelur @IngieCS @JinNonik @MaleoYan Dulu Malaysia berguru kepada Indonesia, banyak guru dan dosen dari Indonesia, sekarang bandingkan kemajuannya.'"
2021-06-06 01:57:45,🅰️ťhő ŕůmbó,b'@FYudiWibowo4 @Corona_KafirNw pasti orang malasya yg kontra sama dia bilangnya..bapak ini mau nyapres di indonesia..ikut urusin negara orang walaupun apa yg dia katakan itu akan terjadi di +62\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3'
2021-06-06 01:56:42,Ky Nory Marley,b'@geloraco Sangat berseberangan dg klaim presiden yg menyatakan Indonesia pbih baik dr pd negara lain dlm menangani Corona.\nNah yg benar yg mna..???'
2021-06-06 01:50:06,Moh.Taufik,"b'@makin_arif @CakBambangelf @FraksiPKB @DanielJohanw @lulukhamidah @LuqmanBeeNKRI Untuk apa nuklir mending duitnya bagi2 kerakyat buat beli rokok kopi nasi ""corona""  indonesia udah ada penangkal nuklir kek penangkal petir'"
2021-06-06 01:41:14,@winantisri1,"b'@ahmedasarlan @Corona_KafirNw @mx00711 @agama_nusantara @Homo_sapiens21 @Jdjdnd42440239 @Polipol95313843 @kelincipetelur @IngieCS @JinNonik @daunsirih5 @MaleoYan Indonesia mau dibikin seoerti itu\nDg Aturan n perilakunya yg menyingkirkan \nKebhinekaan n Pancasila\nSurga macam oppo yg dijanjikan\n\xf0\x9f\x98\xa2\xf0\x9f\x98\xa2\xf0\x9f\x98\xa2\xf0\x9f\x98\xa2\xf0\x9f\x87\xae\xf0\x9f\x87\xa9\xf0\x9f\x87\xae\xf0\x9f\x87\xa9\xf0\x9f\x87\xae\xf0\x9f\x87\xa9\xf0\x9f\x87\xae\xf0\x9f\x87\xa9\xf0\x9f\x87\xae\xf0\x9f\x87\xa9\nuntuk Merah Putih n Nerdeka dulu sudah kurbankan Anak"" Bangsa\nMasak Negara mau dipaksa mewakafkan\nEnak amat'"
2021-06-06 01:30:35,WOLFGANG,"b'Corona, cepat pergi!!!\nGw mau nntn konser anak2 \xf0\x9f\x98\xad waktu i am... nggak nntn krn sibuk mau pelatihan ini itu. Unlock blm sampek ke indonesia udh dateng aja lu corona \xf0\x9f\x98\xad'"
2021-06-06 01:14:23,🇮🇩Kurnia 02🇮🇩,b'@Corona_KafirNw Utk menghindari godaan syahwat pdhl sdh punya istri tidak selalu dgn poligami... MATI saja misalnya....\n\nPembodohan masyarakat spt ini akan merendahkan harkat martabat wanita Indonesia dan hrs nya para penggoreng dalil ini hrs diciduk \xf0\x9f\x98\xa4\xf0\x9f\xa4\xac'
2021-06-06 01:12:34,🎖️🎖️🎖️Agus🎖️🎖️🎖️,b'@hoedakhoirul @felixsiauw Terancam nyawanya gmn mas? Di arab saudi jelas penanganan corona lebih baik drpd di Indonesia.\nBukan terancam nyawanya kali..tp kuatir mengancam nyawa org lain di arab saudi krn kuatir jamaah menyebarkan virus.'
2021-06-06 01:05:48,♀️ₐᵢᵣₐ ₐfₙᵢ ₐₘₐₗᵢₐ 🇲🇨🇵🇸,"b'@Robert_Piliang \xc2\xb0\xc2\xb0\nHaji dibatalkan katanya demi keselamatan karena masih pandemi. China sbg negara produsen Corona, TKA-nya siang malam terus berdatangan ngga ada pejabat yg bicara ttg keselamatan rakyat Indonesia.\n\n#KemanainDanaHajinya\n#AuditDanaHaji \nhttps://t.co/BB3BO8XHpB'"
2021-06-06 00:50:00,SAHAM INDONESIA,"b'Sudah tau penumpang kereta api pada 3 bulan pertama tahun 2020 masih belum ada berita Corona, penumpang masih banyak. Tahun 2021 masih Corona, otomatis penumpang anjlok. Di angkatlah Said Aqil sebelum laporan keuangan keluar, kena tumbal deh pada laporan keu KAI terjun bebas..'"
2021-06-06 00:18:23,Kotak Daur Ulang,b'yuk kita lawan corona dengan patuhi prokes dan dukung vaksinasi covid19 #MendorongNKRILebihMaju Restorasi indonesia #vaksin https://t.co/dfVhOcGPwt'
2021-06-06 00:17:51,Kotak Daur Ulang,"b'angka corona bleum turun, waspada corona ada dimana mana covid19 #MendorongNKRILebihMaju Restorasi indonesia #vaksin https://t.co/2H5L70w7pD'"
2021-06-06 00:14:53,Eqbal CEPA,b'|UpdateCovid19| Data &amp; Fakta Corona Indonesia \xe2\x80\x93 Kisah Sedih Karena Corona https://t.co/DBpWEemBCG via @CEPAGRAM'
2021-06-06 00:14:03,Rudal aim 9,b'yuk kita ikut vaksinasi dan senantiasa melakukan 5m untuk melawan corona untuk indonesia covid19 #MendorongNKRILebihMaju Restorasi indonesia #vaksin https://t.co/74bL8oUHwB'
2021-06-06 00:13:51,Rudal aim 9,b'vaksin itu perlu bukan hanya orangtua melainkan anak muda juga stop corona dari sekarang! covid19 #MendorongNKRILebihMaju Restorasi indonesia #vaksin https://t.co/qM5BePgxra'
2021-06-06 00:11:08,74124K 1.0,"b'Anggota Polsek Pajarakan memasang stiker pemberitahuan di rumah warga yang datang dari luar kota dan belum melaksanakan karantina serta swab untuk mencegah dan memutus penyebaran virus covid-19.\n\nBersama Kita Bisa, Indonesia Lawan Corona! \n\n#AyoTaatiPPKM https://t.co/yEgqAjgMa9'"
2021-06-06 00:05:02,Andhika Bayu,b'Kasus Corona di Indonesia Bertambah 6.594 https://t.co/M7msQT9qaG'
2021-06-06 00:04:58,ichankSRG,b'@hoedakhoirul @felixsiauw Dgn alasan terancam nyawanya..... Tp lupa negara pencipta virus Corona.... Berbondong bondong rakyatnya masuk ke Indonesia'
2021-06-06 00:02:00,kapanlagicom,"b'Buat teman-teman pengrajin kulit di Garut dan Indonesia, dengan adanya pandemi Corona ini, kita jangan patah semangat, terus berkreativitas dan inovasi, dan Berani Berubah.  #BeraniBerubah #PerubahanPerilaku https://t.co/aR229m8Oar'"
2021-06-06 00:02:00,BOLA.COM,"b'Buat teman-teman pengrajin kulit di Garut dan Indonesia, dengan adanya pandemi Corona ini, kita jangan patah semangat, terus berkreativitas dan inovasi, dan Berani Berubah.  #BeraniBerubah #PerubahanPerilaku https://t.co/uzas1RFOPe'"
2021-06-06 00:02:00,Merdeka.com,"b'Buat teman-teman pengrajin kulit di Garut dan Indonesia, dengan adanya pandemi Corona ini, kita jangan patah semangat, terus berkreativitas dan inovasi, dan Berani Berubah.  #BeraniBerubah #PerubahanPerilaku https://t.co/7mWEyBNXRt'"
2021-06-06 00:02:00,Liputan6.com,"b'Buat teman-teman pengrajin kulit di Garut dan Indonesia, dengan adanya pandemi Corona ini, kita jangan patah semangat, terus berkreativitas dan inovasi, dan Berani Berubah.  #BeraniBerubah #PerubahanPerilaku https://t.co/zaV6yUbkuz'"
